id,location,coordinates
3081110164.0,"Jackson, MS","(32.2998686, -90.1830408)"
3092302720.0,"New York, NY","(40.7127281, -74.0060152)"
3098232473.0,"New York, NY","(40.7127281, -74.0060152)"
3969530725.0,"Texas, USA","(31.2638905, -98.5456116)"
4233777387.0,"New Jersey, USA","(40.0757384, -74.4041622)"
4289431230.0,"Lafayette, LA","(30.2262187, -92.0178202)"
2498181012.0,Москва,"(55.625578, 37.6063916)"
2516933027.0,"Saint Petersburg, Russia","(59.938732, 30.316229)"
2579089021.0,Мурманск,"(68.970665, 33.07497)"
2582643409.0,Ватноград,
2586251828.0,Москва,"(55.625578, 37.6063916)"
2992047969.0,Санкт-Петербург,"(59.938732, 30.316229)"
38875764.0,St-Petersburg,"(59.938732, 30.316229)"
2519634855.0,Омск,"(54.991375, 73.371529)"
2532553697.0,"Москва, Россия","(55.625578, 37.6063916)"
2542876557.0,Москва,"(55.625578, 37.6063916)"
2579368386.0,Красти Бургер ,
1625965398.0,portland,"(45.5202471, -122.674194)"
1701582961.0,"Brooklyn, NY","(40.6526006, -73.9497211)"
2431598206.0,Москва,"(55.625578, 37.6063916)"
2537357265.0,LA,"(34.0536909, -118.242766)"
2541109454.0,United States,"(39.7837304, -100.445882)"
2570574680.0,Россия ,"(64.6863136, 97.7453061)"
2589513234.0,Москва,"(55.625578, 37.6063916)"
2912754262.0,United States,"(39.7837304, -100.445882)"
4444330996.0,Cosmopolitanism,
7.332733888363479e+17,"Hessen, Deutschland","(50.6080651, 9.0284647)"
7.311232554578166e+17,"Washington, DC","(38.8950368, -77.0365427)"
2588336851.0,Москва,"(55.625578, 37.6063916)"
7.473442508958843e+17,the corner of happy & healthy,"(39.848441, -84.3124331)"
2525491683.0,Москва,"(55.625578, 37.6063916)"
2575626468.0,Омск,"(54.991375, 73.371529)"
2504601561.0,СПб,"(59.938732, 30.316229)"
7.892661254859981e+17,Estados Unidos,"(39.7837304, -100.445882)"
7.147209088213279e+17,"Berlin, Deutschland","(52.5170365, 13.3888599)"
2401770593.0,"Moscow, Russia","(55.625578, 37.6063916)"
7.598250202102538e+17,United States,"(39.7837304, -100.445882)"
2588788573.0,Москва,"(55.625578, 37.6063916)"
7.192812189659996e+17,Islamic States of America,
3906961827.0,Paris,"(48.8588897, 2.3200410217200766)"
7.48464969008681e+17,United States,"(39.7837304, -100.445882)"
7.499903302677586e+17,st/petersburg,"(59.938732, 30.316229)"
